           1   220264.65794806718        198239.65794806718        110137.32897403359        88112.328974033589        1.8229441321475305E-316   22025.000000000000     
           2   110874.39476954647        88849.394769546474        55810.730282529679        33785.730282529679        37701.864052028373        15676.864052028373     
           4   59987.759655815156        37962.759655815156        32455.927412306755        10430.927412306755        24675.993122232449        2650.9931222324485     
           8   38587.270275051189        16562.270275051189        24821.354153296990        2796.3541532969903        22291.496400293738        266.49640029373768     
          16   29620.773842561732        7595.7738425617317        22737.815781684632        712.81578168463238        36853.689912428054        14828.689912428054     
          32   25645.897463636877        3620.8974636368766        22204.418433198334        179.41843319833424        34849.568048854693        12824.568048854693     
          64   23790.998011881973        1765.9980118819731        22070.258496662722        45.258496662721882        33921.037523758481        11896.037523758481     
         128   22897.037144200058        872.03714420005781        22036.667386590441        11.667386590441311        33473.988921999720        11448.988921999720     
         256   22458.451285193794        433.45128519379432        22028.266406388982        3.2664063889824320        33254.691722252035        11229.691722252035     
         512   22241.258400458730        216.25840045872974        22026.165961056409        1.1659610564092873        33146.095012841586        11121.095012841586     
        1024   22133.187056904993        108.18705690499337        22025.640837203780       0.64083720378039288        33092.059324372174        11067.059324372174     
        2048   22079.282665308718        54.282665308717696        22025.509555458175       0.50955545817487291        33065.107127530639        11040.107127530639     
        4096   22052.363289898127        27.363289898126823        22025.476734972879       0.47673497287905775        33051.647439760069        11026.647439760069     
        8192   22038.911807311033        13.911807311033044        22025.468529848538       0.46852984853831003        26956.651880082776        4931.6518800827762     
       16384   22032.188117298479        7.1881172984794830        22025.466478567239       0.46647856723939185        22025.465794806791       0.46579480679065455     
       32768   22028.826785112433        3.8267851124328445        22025.465965746687       0.46596574668728863        22025.465794806812       0.46579480681248242     
       65536   22027.146247225050        2.1462472250495921        22025.465837542171       0.46583754217135720        22025.465794806743       0.46579480674336082     
      131072   22026.306010331205        1.3060103312054707        22025.465805490883       0.46580549088321277        22025.465794807042       0.46579480704167509     
      262144   22025.885899898036       0.88589989803585922        22025.465797477576       0.46579747757641599        22025.465794806565       0.46579480656509986     
      524288   22025.675846684717       0.67584668471681653        22025.465795474985       0.46579547498549800        22025.465794807213       0.46579480721266009     
